product_type,sku,price,availability,number_of_products_sold,revenue_generated,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,inventory_turnover_ratio,estimated_profit
Haircare,SKU0,69.81,55.0,802.0,8662.0,58.0,7.0,96.0,4.0,Carrier B,5.77,Supplier 3,Mumbai,29.0,215.0,29.0,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75,13.59322033898305,8474.25
Skincare,SKU1,14.84,95.0,736.0,7460.9,53.0,30.0,37.0,2.0,Carrier A,9.72,Supplier 3,Mumbai,23.0,517.0,46.0,33.61676895373,Pending,4.854068026388706,Road,Route B,503.07,13.62962962962963,6957.83
Haircare,SKU2,11.32,34.0,8.0,9577.75,48.0,10.0,88.0,2.0,Carrier B,8.05,Supplier 1,Mumbai,12.0,971.0,27.0,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92,0.16326530612244897,9435.83
Skincare,SKU3,61.16,68.0,83.0,7766.84,23.0,13.0,59.0,6.0,Carrier C,1.73,Supplier 5,Kolkata,24.0,937.0,18.0,35.62474139712503,Fail,4.74664862064775,Rail,Route A,466.51,3.4583333333333335,7300.33
Skincare,SKU4,51.36,26.0,871.0,2686.51,5.0,3.0,56.0,8.0,Carrier A,3.89,Supplier 1,Delhi,5.0,414.0,14.0,252.1424212276368,Fail,3.145579522833002,Air,Route A,923.44,145.16666666666666,1763.0700000000002
Skincare,SKU5,1.7,87.0,283.02,2828.35,90.0,17.0,182.7,3.0,Carrier B,4.44,Supplier 4,Kolkata,10.0,310.28,17.0,56.7664755574318,Fail,2.7791935115711617,Road,Route A,431.15,3.11010989010989,2397.2
Skincare,SKU6,10.96,48.0,65.0,7823.48,11.0,15.0,54.0,8.0,Carrier C,10.25,Supplier 3,Kolkata,14.0,314.0,24.0,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.37,5.416666666666667,7689.11
Cosmetics,SKU7,42.96,59.0,426.0,8496.1,93.0,17.0,11.0,1.0,Carrier B,2.35,Supplier 4,Bangalore,22.0,564.0,1.0,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.06,4.531914893617022,7694.040000000001
Cosmetics,SKU8,68.72,78.0,150.0,7517.36,5.0,10.0,15.0,7.0,Carrier C,3.4,Supplier 4,Mumbai,13.0,769.0,8.0,11.423027139565695,Pending,2.1224716191438247,Road,Route B,505.56,25.0,7011.799999999999
Skincare,SKU9,64.02,35.0,980.0,4971.15,48.0,27.0,83.0,1.0,Carrier A,7.17,Supplier 2,Kolkata,29.0,2873.11,23.0,46.60387338164447,Pending,3.844614478767585,Rail,Route B,995.93,20.0,3975.22
