Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU0,69.80800554211577,55.0,802.0,8661.996792392383,Non-binary,58.0,7.0,96.0,4.0,Carrier B,,Supplier 3,Mumbai,29.0,215.0,29.0,46.27987924050832,Pending,0.2264103608499251,ROad,Route B,187.75207545920392
skincare,SKU1,14.84352327508434,95.0,736.0,7460.900065445849,Female,53.0,30.0,37.0,2.0,Carrier A,9.71657477143131,Supplier 3,Mumbai,23.0,517.0,46.00323220214007,33.61676895373,Pending,4.854068026388706,,Route B,503.0655791496692
haircare,SKU2,11.319683293090566,34.0,8.0,9577.74962586873,Unknown,,10.0,88.0,2.0,Carrier B,8.054479261732155,Supplier 1,Mumbai,12.0,971.0,27.0,30.688019348284204,Pending,4.580592619199229,air,Route C,141.92028177151906
skincare,SKU3,61.163343016437736,68.0,83.0,7766.836425685233,Non-binary,23.0,13.0,59.0,6.0,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24.0,937.0,18.0,35.62474139712503,Fail,4.74664862064775,Rail,Route A,466.5146361108333
,SKU4,,26.0,871.0,2686.505151567447,Non-binary,5.0,3.0,56.0,8.0,Carrier A,3.890547915870672,Supplier 1,Delhi,5.0,414.0,,252.1424212276368,Fail,3.145579522833002,air,Route A,923.4406317119222
,SKU5,1.6999760138659377,87.0,283.02243220934713,2828.348745975759,Non-binary,90.0,,182.70366610172772,3.0,Carrier B,4.444098864382293,Supplier 4,,10.0,310.2838493210919,17.0,56.7664755574318,Fail,2.7791935115711617,ROad,Route A,431.14753558766523
skincare,SKU6,10.962009460226307,48.0,65.0,7823.476559531737,Male,11.0,15.0,,8.0,Carrier C,10.246612354095879,Supplier 3,Kolkata,14.0,314.0,24.0,1.0850685695870688,Pending,1.0009106193041355,sea,Route A,134.36909686103172
cosmetics,SKU7,42.95838438246007,59.0,426.0,8496.103813089838,Female,93.0,17.0,11.0,1.0,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22.0,564.0,1.0,99.46610860359912,Fail,0.3981771868506506,ROad,Route C,802.0563118175586
cosmetics,SKU8,68.71759674852733,78.0,150.0,7517.363210631127,Female,5.0,10.0,15.0,7.0,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13.0,769.0,8.0,11.423027139565695,Pending,,,Route B,505.55713422546415
skincare,SKU9,64.01573294127854,35.0,980.0,4971.145987585558,Unknown,,27.0,83.0,1.0,Carrier A,7.166645291048216,Supplier 2,,29.0,2873.1091047712644,23.0,,Pending,3.844614478767585,Rail,Route B,995.9294614986416
